Category,Value,Question,Answer
Math Basics,100,What is 7 x 8?,56
Math Basics,200,What is the square root of 144?,12
Math Basics,300,What is the value of Pi rounded to two decimal places?,3.14
Math Basics,400,How many degrees are in a triangle?,180
Math Basics,500,What is the formula for the area of a circle?,Pi times r squared
Science,100,What planet is known as the Red Planet?,Mars
Science,200,What gas do plants absorb from the atmosphere?,Carbon Dioxide
Science,300,What is the chemical symbol for gold?,Au
Science,400,What is the powerhouse of the cell?,Mitochondria
Science,500,What force keeps planets in orbit around the Sun?,Gravity
History,100,In what year did the United States declare independence?,1776
History,200,Who was the first president of the United States?,George Washington
History,300,What ancient civilization built the pyramids?,Ancient Egyptians
History,400,The Renaissance began in which country?,Italy
History,500,What year did World War II end?,1945
Geography,100,What is the largest continent?,Asia
Geography,200,What is the longest river in the world?,The Nile
Geography,300,What country has the largest population?,China
Geography,400,What is the smallest country in the world?,Vatican City
Geography,500,On which continent is the Sahara Desert located?,Africa
Vocabulary,100,What does the word 'benevolent' mean?,Kind and generous
Vocabulary,200,What is a synonym for 'obstinate'?,Stubborn
Vocabulary,300,What does 'hypothesis' mean in science?,An educated guess or prediction
Vocabulary,400,What is the opposite of 'transparent'?,Opaque
Vocabulary,500,What does the Latin root 'aqua' mean?,Water
