Category,Value,Question,Answer
Plate Tectonics,100,The theory that Earth's crust is broken into large moving pieces is called this.,Plate Tectonics
Plate Tectonics,200,This supercontinent existed about 250 million years ago.,Pangea
Plate Tectonics,300,This type of boundary occurs when two plates move apart.,Divergent Boundary
Plate Tectonics,400,The Mid-Atlantic Ridge is an example of this type of plate boundary.,Divergent Boundary
Plate Tectonics,500,This scientist proposed the theory of continental drift in 1912.,Alfred Wegener
Earthquakes,100,The point on Earth's surface directly above an earthquake's origin is called this.,Epicenter
Earthquakes,200,This scale measures an earthquake's magnitude.,Richter Scale
Earthquakes,300,The point underground where an earthquake originates is called this.,Focus (Hypocenter)
Earthquakes,400,These seismic waves arrive first and move in a push-pull motion.,P-waves (Primary waves)
Earthquakes,500,This instrument is used to detect and record earthquakes.,Seismograph
Volcanoes,100,This type of volcano has a broad and gently sloping cone shape.,Shield Volcano
Volcanoes,200,Molten rock beneath Earth's surface is called this.,Magma
Volcanoes,300,This volcanic rock forms when lava cools very quickly and is glassy.,Obsidian
Volcanoes,400,The Ring of Fire is located around this ocean.,Pacific Ocean
Volcanoes,500,This type of eruption is the most explosive and dangerous.,Plinian Eruption
Rock Cycle,100,This type of rock forms from cooled magma or lava.,Igneous Rock
Rock Cycle,200,Sedimentary rocks are formed through compaction and this process.,Cementation
Rock Cycle,300,This metamorphic rock forms from limestone under heat and pressure.,Marble
Rock Cycle,400,The process of breaking down rocks by wind and water is called this.,Weathering
Rock Cycle,500,This igneous rock has large visible crystals due to slow cooling underground.,Granite
Earth's Layers,100,The thin outermost layer of the Earth is called this.,Crust
Earth's Layers,200,This layer of Earth is the thickest.,Mantle
Earth's Layers,300,Earth's inner core is primarily made of these two metals.,Iron and Nickel
Earth's Layers,400,This partially molten layer of the mantle allows tectonic plates to move.,Asthenosphere
Earth's Layers,500,The boundary between the crust and the mantle is named after this scientist.,Mohorovicic (Moho Discontinuity)
